Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00238.bmp, PSNR, 13.352776, SSIM, 0.239898 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00467.bmp, PSNR, 21.679712, SSIM, 0.590244 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00641.bmp, PSNR, 23.684022, SSIM, 0.534251 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00766.bmp, PSNR, 20.505422, SSIM, 0.544406 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00767.bmp, PSNR, 25.933563, SSIM, 0.655021 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 01034.bmp, PSNR, 32.970036, SSIM, 0.869697 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 01631.bmp, PSNR, 23.864760, SSIM, 0.582521 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 01660.bmp, PSNR, 23.660761, SSIM, 0.631145 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 02827.bmp, PSNR, 26.426469, SSIM, 0.736794 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 02913.bmp, PSNR, 23.299681, SSIM, 0.501996 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 03083.bmp, PSNR, 23.676845, SSIM, 0.696789 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 03581.bmp, PSNR, 31.031736, SSIM, 0.846775 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 03766.bmp, PSNR, 23.811802, SSIM, 0.621055 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 03907.bmp, PSNR, 28.395511, SSIM, 0.695175 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 04134.bmp, PSNR, 32.226880, SSIM, 0.888149 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 04576.bmp, PSNR, 27.655058, SSIM, 0.823107 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 04582.bmp, PSNR, 22.936387, SSIM, 0.669654 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 04694.bmp, PSNR, 29.245182, SSIM, 0.796161 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 04695.bmp, PSNR, 30.199076, SSIM, 0.780254 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 04699.bmp, PSNR, 29.593960, SSIM, 0.768270 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 00238.bmp, PSNR, 14.218231, SSIM, 0.305538 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 00467.bmp, PSNR, 24.912518, SSIM, 0.753651 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 00641.bmp, PSNR, 26.010928, SSIM, 0.673779 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 00766.bmp, PSNR, 23.039322, SSIM, 0.683710 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 00767.bmp, PSNR, 28.400008, SSIM, 0.758371 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 01034.bmp, PSNR, 36.288233, SSIM, 0.920406 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 01631.bmp, PSNR, 25.891457, SSIM, 0.684616 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 01660.bmp, PSNR, 27.439759, SSIM, 0.803655 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 02827.bmp, PSNR, 28.956837, SSIM, 0.824682 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 02913.bmp, PSNR, 25.149955, SSIM, 0.622993 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 03083.bmp, PSNR, 26.534647, SSIM, 0.804302 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 03581.bmp, PSNR, 34.272859, SSIM, 0.895793 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 03766.bmp, PSNR, 27.577131, SSIM, 0.783827 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 03907.bmp, PSNR, 29.971187, SSIM, 0.755594 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 04134.bmp, PSNR, 36.290365, SSIM, 0.942704 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 04576.bmp, PSNR, 32.424995, SSIM, 0.913505 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 04582.bmp, PSNR, 26.250669, SSIM, 0.790703 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 04694.bmp, PSNR, 32.500988, SSIM, 0.877622 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 04695.bmp, PSNR, 32.724368, SSIM, 0.843492 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 04699.bmp, PSNR, 32.186262, SSIM, 0.841767 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 00238.bmp, PSNR, 23.358681, SSIM, 0.832149 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 00467.bmp, PSNR, 27.429366, SSIM, 0.842262 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 00641.bmp, PSNR, 27.601011, SSIM, 0.763283 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 00766.bmp, PSNR, 25.462576, SSIM, 0.785337 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 00767.bmp, PSNR, 29.750743, SSIM, 0.801494 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 01034.bmp, PSNR, 38.045784, SSIM, 0.939614 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 01631.bmp, PSNR, 27.725957, SSIM, 0.775752 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 01660.bmp, PSNR, 30.189955, SSIM, 0.881880 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 02827.bmp, PSNR, 31.163869, SSIM, 0.881298 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 02913.bmp, PSNR, 26.394675, SSIM, 0.706493 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 03083.bmp, PSNR, 29.103098, SSIM, 0.881829 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 03581.bmp, PSNR, 36.381015, SSIM, 0.927109 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 03766.bmp, PSNR, 30.051322, SSIM, 0.855304 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 03907.bmp, PSNR, 31.169142, SSIM, 0.796089 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 04134.bmp, PSNR, 39.117548, SSIM, 0.963732 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 04576.bmp, PSNR, 35.329195, SSIM, 0.946865 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 04582.bmp, PSNR, 29.043810, SSIM, 0.871570 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 04694.bmp, PSNR, 34.889583, SSIM, 0.922048 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 04695.bmp, PSNR, 34.567481, SSIM, 0.886518 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 04699.bmp, PSNR, 33.736509, SSIM, 0.879711 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 00238.bmp, PSNR, 26.615419, SSIM, 0.895098 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 00467.bmp, PSNR, 29.674962, SSIM, 0.896359 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 00641.bmp, PSNR, 29.099085, SSIM, 0.822952 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 00766.bmp, PSNR, 27.173838, SSIM, 0.835814 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 00767.bmp, PSNR, 30.981651, SSIM, 0.842855 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 01034.bmp, PSNR, 39.638521, SSIM, 0.954949 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 01631.bmp, PSNR, 29.094296, SSIM, 0.824395 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 01660.bmp, PSNR, 32.724678, SSIM, 0.928404 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 02827.bmp, PSNR, 32.668600, SSIM, 0.906571 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 02913.bmp, PSNR, 27.566630, SSIM, 0.770707 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 03083.bmp, PSNR, 31.274014, SSIM, 0.917837 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 03581.bmp, PSNR, 38.244390, SSIM, 0.947080 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 03766.bmp, PSNR, 32.364310, SSIM, 0.903119 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 03907.bmp, PSNR, 32.000060, SSIM, 0.820723 
