Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00001.bmp, PSNR, 31.059195, SSIM, 0.829460 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00004.bmp, PSNR, 14.394186, SSIM, 0.198868 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00013.bmp, PSNR, 18.127376, SSIM, 0.393990 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00021.bmp, PSNR, 26.168681, SSIM, 0.725179 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00026.bmp, PSNR, 29.030304, SSIM, 0.848728 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00102.bmp, PSNR, 22.535221, SSIM, 0.700842 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00135.bmp, PSNR, 22.831346, SSIM, 0.644838 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00883.bmp, PSNR, 28.070638, SSIM, 0.766429 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00888.bmp, PSNR, 21.663122, SSIM, 0.568634 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00947.bmp, PSNR, 15.251496, SSIM, 0.290429 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 01068.bmp, PSNR, 26.191022, SSIM, 0.749888 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 01712.bmp, PSNR, 17.948682, SSIM, 0.423081 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 02174.bmp, PSNR, 25.687426, SSIM, 0.768151 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 02748.bmp, PSNR, 26.799077, SSIM, 0.819222 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 02771.bmp, PSNR, 23.377439, SSIM, 0.582726 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 02834.bmp, PSNR, 29.044272, SSIM, 0.758482 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 03427.bmp, PSNR, 20.680017, SSIM, 0.544728 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 03769.bmp, PSNR, 20.793472, SSIM, 0.459097 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 03903.bmp, PSNR, 27.537261, SSIM, 0.787619 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 03945.bmp, PSNR, 19.523320, SSIM, 0.585245 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 00001.bmp, PSNR, 34.306319, SSIM, 0.900869 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 00004.bmp, PSNR, 15.288924, SSIM, 0.304700 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 00013.bmp, PSNR, 20.319503, SSIM, 0.567235 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 00021.bmp, PSNR, 31.184128, SSIM, 0.852888 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 00026.bmp, PSNR, 33.391466, SSIM, 0.929034 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 00102.bmp, PSNR, 27.335575, SSIM, 0.854764 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 00135.bmp, PSNR, 27.577849, SSIM, 0.818199 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 00883.bmp, PSNR, 31.123628, SSIM, 0.871355 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 00888.bmp, PSNR, 24.056595, SSIM, 0.703043 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 00947.bmp, PSNR, 17.122194, SSIM, 0.441587 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 01068.bmp, PSNR, 29.002188, SSIM, 0.842007 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 01712.bmp, PSNR, 20.328558, SSIM, 0.586208 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 02174.bmp, PSNR, 29.177552, SSIM, 0.872343 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 02748.bmp, PSNR, 32.750277, SSIM, 0.927998 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 02771.bmp, PSNR, 25.681086, SSIM, 0.687868 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 02834.bmp, PSNR, 32.252677, SSIM, 0.850108 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 03427.bmp, PSNR, 23.555557, SSIM, 0.713886 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 03769.bmp, PSNR, 23.404070, SSIM, 0.624563 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 03903.bmp, PSNR, 32.591054, SSIM, 0.910455 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 03945.bmp, PSNR, 29.346415, SSIM, 0.916768 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 00001.bmp, PSNR, 36.901322, SSIM, 0.939899 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 00004.bmp, PSNR, 15.969471, SSIM, 0.386507 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 00013.bmp, PSNR, 22.127813, SSIM, 0.702605 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 00021.bmp, PSNR, 34.021919, SSIM, 0.914364 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 00026.bmp, PSNR, 35.960336, SSIM, 0.955744 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 00102.bmp, PSNR, 30.488176, SSIM, 0.920816 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 00135.bmp, PSNR, 30.961922, SSIM, 0.893639 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 00883.bmp, PSNR, 32.941495, SSIM, 0.903892 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 00888.bmp, PSNR, 25.906572, SSIM, 0.795245 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 00947.bmp, PSNR, 20.338877, SSIM, 0.670510 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 01068.bmp, PSNR, 31.682145, SSIM, 0.902184 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 01712.bmp, PSNR, 22.572257, SSIM, 0.706033 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 02174.bmp, PSNR, 31.845034, SSIM, 0.919958 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 02748.bmp, PSNR, 35.853174, SSIM, 0.958340 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 02771.bmp, PSNR, 29.913710, SSIM, 0.830779 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 02834.bmp, PSNR, 33.997855, SSIM, 0.885678 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 03427.bmp, PSNR, 24.850677, SSIM, 0.750513 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 03769.bmp, PSNR, 25.443334, SSIM, 0.734473 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 03903.bmp, PSNR, 34.918727, SSIM, 0.939620 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 03945.bmp, PSNR, 32.502837, SSIM, 0.947038 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 00001.bmp, PSNR, 39.324851, SSIM, 0.962007 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 00004.bmp, PSNR, 18.608421, SSIM, 0.608699 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 00013.bmp, PSNR, 23.404595, SSIM, 0.767123 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 00021.bmp, PSNR, 36.423729, SSIM, 0.946350 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 00026.bmp, PSNR, 38.090015, SSIM, 0.969007 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 00102.bmp, PSNR, 33.395827, SSIM, 0.952285 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 00135.bmp, PSNR, 33.033084, SSIM, 0.922876 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 00883.bmp, PSNR, 34.468009, SSIM, 0.926925 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 00888.bmp, PSNR, 27.279131, SSIM, 0.842787 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 00947.bmp, PSNR, 22.413834, SSIM, 0.761639 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 01068.bmp, PSNR, 33.816698, SSIM, 0.935695 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 01712.bmp, PSNR, 25.414079, SSIM, 0.797662 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 02174.bmp, PSNR, 34.272546, SSIM, 0.950523 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 02748.bmp, PSNR, 38.690778, SSIM, 0.974847 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 02771.bmp, PSNR, 31.692263, SSIM, 0.863336 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 02834.bmp, PSNR, 35.400859, SSIM, 0.908889 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 03427.bmp, PSNR, 26.579932, SSIM, 0.820713 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 03769.bmp, PSNR, 26.844386, SSIM, 0.790568 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 03903.bmp, PSNR, 37.160885, SSIM, 0.957753 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 03945.bmp, PSNR, 34.228654, SSIM, 0.960406 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.250000, Image_name, 00001.bmp, PSNR, 40.925870, SSIM, 0.972075 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.250000, Image_name, 00004.bmp, PSNR, 20.213137, SSIM, 0.695870 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.250000, Image_name, 00013.bmp, PSNR, 25.124696, SSIM, 0.836118 
