Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00191.bmp, PSNR, 30.740079, SSIM, 0.839122 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00209.bmp, PSNR, 31.334779, SSIM, 0.849769 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00221.bmp, PSNR, 22.989188, SSIM, 0.593711 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00310.bmp, PSNR, 27.110675, SSIM, 0.768655 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00348.bmp, PSNR, 19.829389, SSIM, 0.598520 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00510.bmp, PSNR, 25.155012, SSIM, 0.713167 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00566.bmp, PSNR, 29.890564, SSIM, 0.874776 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00639.bmp, PSNR, 20.186383, SSIM, 0.631853 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00643.bmp, PSNR, 20.574082, SSIM, 0.569269 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00760.bmp, PSNR, 22.856818, SSIM, 0.660391 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00835.bmp, PSNR, 26.283247, SSIM, 0.758453 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00910.bmp, PSNR, 23.141089, SSIM, 0.638037 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00927.bmp, PSNR, 25.385654, SSIM, 0.758967 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 01673.bmp, PSNR, 28.950185, SSIM, 0.861211 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 02947.bmp, PSNR, 25.229521, SSIM, 0.722371 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 02955.bmp, PSNR, 32.954675, SSIM, 0.895513 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 03191.bmp, PSNR, 21.678054, SSIM, 0.677331 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 03294.bmp, PSNR, 23.243277, SSIM, 0.610481 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 04001.bmp, PSNR, 20.208368, SSIM, 0.556312 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 04723.bmp, PSNR, 25.023282, SSIM, 0.786610 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 00191.bmp, PSNR, 34.300559, SSIM, 0.906059 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 00209.bmp, PSNR, 35.073159, SSIM, 0.916718 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 00221.bmp, PSNR, 26.037344, SSIM, 0.734467 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 00310.bmp, PSNR, 31.095532, SSIM, 0.877696 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 00348.bmp, PSNR, 23.760974, SSIM, 0.780232 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 00510.bmp, PSNR, 29.134370, SSIM, 0.838295 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 00566.bmp, PSNR, 35.884281, SSIM, 0.957423 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 00639.bmp, PSNR, 24.146622, SSIM, 0.808899 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 00643.bmp, PSNR, 25.531535, SSIM, 0.793812 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 00760.bmp, PSNR, 26.251895, SSIM, 0.796904 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 00835.bmp, PSNR, 30.416874, SSIM, 0.862171 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 00910.bmp, PSNR, 28.087781, SSIM, 0.822093 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 00927.bmp, PSNR, 29.370969, SSIM, 0.866803 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 01673.bmp, PSNR, 34.225361, SSIM, 0.941499 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 02947.bmp, PSNR, 28.161164, SSIM, 0.820771 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 02955.bmp, PSNR, 37.371373, SSIM, 0.951117 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 03191.bmp, PSNR, 27.774609, SSIM, 0.870024 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 03294.bmp, PSNR, 26.032719, SSIM, 0.738352 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 04001.bmp, PSNR, 25.659474, SSIM, 0.814738 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 04723.bmp, PSNR, 29.808040, SSIM, 0.899822 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 00191.bmp, PSNR, 36.653119, SSIM, 0.936812 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 00209.bmp, PSNR, 37.262901, SSIM, 0.941746 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 00221.bmp, PSNR, 28.103909, SSIM, 0.819413 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 00310.bmp, PSNR, 34.109929, SSIM, 0.931096 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 00348.bmp, PSNR, 26.686845, SSIM, 0.861947 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 00510.bmp, PSNR, 31.989827, SSIM, 0.897213 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 00566.bmp, PSNR, 39.477452, SSIM, 0.976543 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 00639.bmp, PSNR, 27.545997, SSIM, 0.898751 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 00643.bmp, PSNR, 29.190918, SSIM, 0.877882 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 00760.bmp, PSNR, 28.980666, SSIM, 0.875845 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 00835.bmp, PSNR, 33.330227, SSIM, 0.911216 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 00910.bmp, PSNR, 30.830729, SSIM, 0.886580 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 00927.bmp, PSNR, 31.912690, SSIM, 0.909721 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 01673.bmp, PSNR, 36.601923, SSIM, 0.961256 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 02947.bmp, PSNR, 29.801661, SSIM, 0.860445 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 02955.bmp, PSNR, 39.914999, SSIM, 0.967052 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 03191.bmp, PSNR, 31.077713, SSIM, 0.926390 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 03294.bmp, PSNR, 28.096461, SSIM, 0.819419 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 04001.bmp, PSNR, 28.909421, SSIM, 0.894820 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 04723.bmp, PSNR, 32.779400, SSIM, 0.939830 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 00191.bmp, PSNR, 38.069596, SSIM, 0.949961 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 00209.bmp, PSNR, 39.025577, SSIM, 0.958605 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 00221.bmp, PSNR, 29.723281, SSIM, 0.864751 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 00310.bmp, PSNR, 36.325578, SSIM, 0.950609 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 00348.bmp, PSNR, 28.654879, SSIM, 0.901816 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 00510.bmp, PSNR, 34.110063, SSIM, 0.930626 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 00566.bmp, PSNR, 41.850397, SSIM, 0.985730 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 00639.bmp, PSNR, 29.436183, SSIM, 0.925996 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 00643.bmp, PSNR, 31.438523, SSIM, 0.914431 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 00760.bmp, PSNR, 31.020423, SSIM, 0.915809 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 00835.bmp, PSNR, 35.287812, SSIM, 0.934479 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 00910.bmp, PSNR, 33.487953, SSIM, 0.933089 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 00927.bmp, PSNR, 33.966370, SSIM, 0.935688 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 01673.bmp, PSNR, 38.615386, SSIM, 0.971743 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 02947.bmp, PSNR, 31.462889, SSIM, 0.897646 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 02955.bmp, PSNR, 41.832858, SSIM, 0.976786 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 03191.bmp, PSNR, 33.452894, SSIM, 0.952482 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 03294.bmp, PSNR, 29.902085, SSIM, 0.874357 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 04001.bmp, PSNR, 31.427467, SSIM, 0.933613 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.200000, Image_name, 04723.bmp, PSNR, 34.992960, SSIM, 0.958419 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.250000, Image_name, 00191.bmp, PSNR, 39.558416, SSIM, 0.961543 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.250000, Image_name, 00209.bmp, PSNR, 40.476321, SSIM, 0.969083 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.250000, Image_name, 00221.bmp, PSNR, 30.885505, SSIM, 0.890835 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.250000, Image_name, 00310.bmp, PSNR, 38.388940, SSIM, 0.966152 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.250000, Image_name, 00348.bmp, PSNR, 30.272685, SSIM, 0.926685 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.250000, Image_name, 00510.bmp, PSNR, 36.151133, SSIM, 0.953812 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.250000, Image_name, 00566.bmp, PSNR, 43.747826, SSIM, 0.989989 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.250000, Image_name, 00639.bmp, PSNR, 31.785870, SSIM, 0.950652 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.250000, Image_name, 00643.bmp, PSNR, 32.955269, SSIM, 0.931626 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.250000, Image_name, 00760.bmp, PSNR, 32.782098, SSIM, 0.942047 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.250000, Image_name, 00835.bmp, PSNR, 36.967586, SSIM, 0.949299 
