Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00689.bmp, PSNR, 21.281453, SSIM, 0.449241 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00705.bmp, PSNR, 34.351089, SSIM, 0.931522 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 01043.bmp, PSNR, 24.250430, SSIM, 0.643489 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 01048.bmp, PSNR, 30.561830, SSIM, 0.791078 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 01276.bmp, PSNR, 43.246392, SSIM, 0.972892 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 01283.bmp, PSNR, 15.562121, SSIM, 0.225858 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 01706.bmp, PSNR, 24.135212, SSIM, 0.549525 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 02315.bmp, PSNR, 24.102596, SSIM, 0.461874 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 02817.bmp, PSNR, 35.280193, SSIM, 0.883762 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 02830.bmp, PSNR, 31.109618, SSIM, 0.833187 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 02831.bmp, PSNR, 17.498951, SSIM, 0.315580 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 02832.bmp, PSNR, 30.961489, SSIM, 0.822884 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 02917.bmp, PSNR, 20.620463, SSIM, 0.368297 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 03337.bmp, PSNR, 23.065503, SSIM, 0.581803 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 03400.bmp, PSNR, 27.005817, SSIM, 0.652788 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 03403.bmp, PSNR, 27.731716, SSIM, 0.688774 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 03439.bmp, PSNR, 22.071955, SSIM, 0.546675 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 03589.bmp, PSNR, 18.114766, SSIM, 0.382153 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 04208.bmp, PSNR, 17.161698, SSIM, 0.301686 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 04733.bmp, PSNR, 25.113845, SSIM, 0.753100 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 00689.bmp, PSNR, 22.870047, SSIM, 0.556055 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 00705.bmp, PSNR, 38.050066, SSIM, 0.961696 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 01043.bmp, PSNR, 25.756483, SSIM, 0.718903 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 01048.bmp, PSNR, 32.929889, SSIM, 0.855978 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 01276.bmp, PSNR, 46.313366, SSIM, 0.984591 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 01283.bmp, PSNR, 16.394483, SSIM, 0.319629 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 01706.bmp, PSNR, 25.751509, SSIM, 0.632158 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 02315.bmp, PSNR, 25.558861, SSIM, 0.570416 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 02817.bmp, PSNR, 37.907140, SSIM, 0.923175 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 02830.bmp, PSNR, 34.317726, SSIM, 0.901277 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 02831.bmp, PSNR, 19.524203, SSIM, 0.504403 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 02832.bmp, PSNR, 33.289094, SSIM, 0.867838 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 02917.bmp, PSNR, 22.551113, SSIM, 0.523584 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 03337.bmp, PSNR, 24.966780, SSIM, 0.686076 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 03400.bmp, PSNR, 29.069871, SSIM, 0.745719 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 03403.bmp, PSNR, 29.482960, SSIM, 0.764771 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 03439.bmp, PSNR, 24.576509, SSIM, 0.688457 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 03589.bmp, PSNR, 20.126869, SSIM, 0.523827 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 04208.bmp, PSNR, 19.053953, SSIM, 0.502584 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 04733.bmp, PSNR, 28.203339, SSIM, 0.853656 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 00689.bmp, PSNR, 23.766925, SSIM, 0.622085 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 00705.bmp, PSNR, 40.881961, SSIM, 0.974228 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 01043.bmp, PSNR, 27.749500, SSIM, 0.807779 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 01048.bmp, PSNR, 34.615959, SSIM, 0.890885 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 01276.bmp, PSNR, 48.090003, SSIM, 0.988858 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 01283.bmp, PSNR, 17.266062, SSIM, 0.414625 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 01706.bmp, PSNR, 27.037168, SSIM, 0.703570 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 02315.bmp, PSNR, 26.674845, SSIM, 0.658711 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 02817.bmp, PSNR, 39.095098, SSIM, 0.936499 
