Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00524.bmp, PSNR, 25.047679, SSIM, 0.643365 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00548.bmp, PSNR, 28.130825, SSIM, 0.726927 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00794.bmp, PSNR, 23.862643, SSIM, 0.716914 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 01078.bmp, PSNR, 20.524836, SSIM, 0.563230 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 01102.bmp, PSNR, 24.469499, SSIM, 0.632491 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 01112.bmp, PSNR, 22.387558, SSIM, 0.478879 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 01792.bmp, PSNR, 28.108403, SSIM, 0.726691 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 01847.bmp, PSNR, 19.859040, SSIM, 0.517473 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 01888.bmp, PSNR, 27.355679, SSIM, 0.710366 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 02309.bmp, PSNR, 31.293713, SSIM, 0.846783 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 02514.bmp, PSNR, 19.190924, SSIM, 0.276775 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 02515.bmp, PSNR, 26.506810, SSIM, 0.563844 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 03143.bmp, PSNR, 19.955752, SSIM, 0.599102 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 03152.bmp, PSNR, 22.366326, SSIM, 0.528532 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 03168.bmp, PSNR, 21.066541, SSIM, 0.502434 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 03584.bmp, PSNR, 20.472797, SSIM, 0.449364 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 03848.bmp, PSNR, 35.868490, SSIM, 0.930763 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 03896.bmp, PSNR, 31.389353, SSIM, 0.825718 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 04224.bmp, PSNR, 18.055311, SSIM, 0.308202 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 04474.bmp, PSNR, 22.112871, SSIM, 0.596646 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 00524.bmp, PSNR, 27.962357, SSIM, 0.771073 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 00548.bmp, PSNR, 32.042008, SSIM, 0.857196 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 00794.bmp, PSNR, 28.072147, SSIM, 0.849516 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 01078.bmp, PSNR, 24.909802, SSIM, 0.801817 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 01102.bmp, PSNR, 27.875133, SSIM, 0.750034 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 01112.bmp, PSNR, 24.345167, SSIM, 0.598037 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 01792.bmp, PSNR, 31.834267, SSIM, 0.850743 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 01847.bmp, PSNR, 23.524320, SSIM, 0.718105 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 01888.bmp, PSNR, 30.994996, SSIM, 0.837551 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 02309.bmp, PSNR, 35.658604, SSIM, 0.925107 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 02514.bmp, PSNR, 20.706255, SSIM, 0.426631 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 02515.bmp, PSNR, 27.780849, SSIM, 0.629440 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 03143.bmp, PSNR, 25.735106, SSIM, 0.829409 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 03152.bmp, PSNR, 25.728863, SSIM, 0.733415 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 03168.bmp, PSNR, 22.274565, SSIM, 0.570788 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 03584.bmp, PSNR, 24.120355, SSIM, 0.675835 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 03848.bmp, PSNR, 39.829597, SSIM, 0.961132 
