Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00170.bmp, PSNR, 27.036221, SSIM, 0.749946 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00228.bmp, PSNR, 32.209307, SSIM, 0.822931 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00232.bmp, PSNR, 29.112118, SSIM, 0.839245 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00242.bmp, PSNR, 25.490235, SSIM, 0.537999 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00244.bmp, PSNR, 22.207976, SSIM, 0.553673 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00246.bmp, PSNR, 35.373536, SSIM, 0.953162 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00249.bmp, PSNR, 23.428179, SSIM, 0.613528 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00258.bmp, PSNR, 29.439818, SSIM, 0.886874 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00415.bmp, PSNR, 18.622379, SSIM, 0.533656 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00471.bmp, PSNR, 27.989926, SSIM, 0.771734 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00559.bmp, PSNR, 25.141027, SSIM, 0.720887 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00560.bmp, PSNR, 22.548658, SSIM, 0.589697 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00733.bmp, PSNR, 19.923633, SSIM, 0.504377 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 01279.bmp, PSNR, 20.327165, SSIM, 0.538701 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 01790.bmp, PSNR, 19.444394, SSIM, 0.594729 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 03133.bmp, PSNR, 24.960994, SSIM, 0.745013 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 03349.bmp, PSNR, 24.844395, SSIM, 0.728993 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 03407.bmp, PSNR, 23.740003, SSIM, 0.643872 
