Denoiser, EDSR_3x3_10cases, Rate, 0.050000, Image_name, 1.tif, PSNR, 23.248002, SSIM, 0.602471 
Denoiser, EDSR_3x3_10cases, Rate, 0.050000, Image_name, 2.tif, PSNR, 26.749083, SSIM, 0.765884 
Denoiser, EDSR_3x3_10cases, Rate, 0.050000, Image_name, 3.tif, PSNR, 26.524892, SSIM, 0.795899 
Denoiser, EDSR_3x3_10cases, Rate, 0.050000, Image_name, 4.tif, PSNR, 34.189020, SSIM, 0.906367 
Denoiser, EDSR_3x3_10cases, Rate, 0.050000, Image_name, 5.tif, PSNR, 32.596512, SSIM, 0.855912 
Denoiser, EDSR_3x3_10cases, Rate, 0.050000, Image_name, 6.tif, PSNR, 27.731464, SSIM, 0.811182 
Denoiser, EDSR_3x3_10cases, Rate, 0.050000, Image_name, 7.tif, PSNR, 25.924574, SSIM, 0.824026 
Denoiser, EDSR_3x3_10cases, Rate, 0.050000, Image_name, 8.tif, PSNR, 30.058029, SSIM, 0.862233 
Denoiser, EDSR_3x3_10cases, Rate, 0.100000, Image_name, 1.tif, PSNR, 27.403432, SSIM, 0.814525 
Denoiser, EDSR_3x3_10cases, Rate, 0.100000, Image_name, 2.tif, PSNR, 30.641928, SSIM, 0.877474 
Denoiser, EDSR_3x3_10cases, Rate, 0.100000, Image_name, 3.tif, PSNR, 29.429689, SSIM, 0.851457 
Denoiser, EDSR_3x3_10cases, Rate, 0.100000, Image_name, 4.tif, PSNR, 37.068433, SSIM, 0.938116 
Denoiser, EDSR_3x3_10cases, Rate, 0.100000, Image_name, 5.tif, PSNR, 35.132553, SSIM, 0.886429 
Denoiser, EDSR_3x3_10cases, Rate, 0.100000, Image_name, 6.tif, PSNR, 31.819371, SSIM, 0.900789 
Denoiser, EDSR_3x3_10cases, Rate, 0.100000, Image_name, 7.tif, PSNR, 30.001505, SSIM, 0.910070 
Denoiser, EDSR_3x3_10cases, Rate, 0.100000, Image_name, 8.tif, PSNR, 33.741602, SSIM, 0.915586 
Denoiser, EDSR_3x3_10cases, Rate, 0.150000, Image_name, 1.tif, PSNR, 30.759557, SSIM, 0.905680 
Denoiser, EDSR_3x3_10cases, Rate, 0.150000, Image_name, 2.tif, PSNR, 33.335377, SSIM, 0.922214 
Denoiser, EDSR_3x3_10cases, Rate, 0.150000, Image_name, 3.tif, PSNR, 30.702347, SSIM, 0.871194 
Denoiser, EDSR_3x3_10cases, Rate, 0.150000, Image_name, 4.tif, PSNR, 38.820767, SSIM, 0.953558 
Denoiser, EDSR_3x3_10cases, Rate, 0.150000, Image_name, 5.tif, PSNR, 36.324628, SSIM, 0.907215 
Denoiser, EDSR_3x3_10cases, Rate, 0.150000, Image_name, 6.tif, PSNR, 34.787807, SSIM, 0.939037 
Denoiser, EDSR_3x3_10cases, Rate, 0.150000, Image_name, 7.tif, PSNR, 32.983728, SSIM, 0.947322 
Denoiser, EDSR_3x3_10cases, Rate, 0.150000, Image_name, 8.tif, PSNR, 35.591746, SSIM, 0.934690 
Denoiser, EDSR_3x3_10cases, Rate, 0.200000, Image_name, 1.tif, PSNR, 33.312009, SSIM, 0.940555 
Denoiser, EDSR_3x3_10cases, Rate, 0.200000, Image_name, 2.tif, PSNR, 35.390879, SSIM, 0.946154 
Denoiser, EDSR_3x3_10cases, Rate, 0.200000, Image_name, 3.tif, PSNR, 32.701954, SSIM, 0.908838 
Denoiser, EDSR_3x3_10cases, Rate, 0.200000, Image_name, 4.tif, PSNR, 40.198130, SSIM, 0.962807 
Denoiser, EDSR_3x3_10cases, Rate, 0.200000, Image_name, 5.tif, PSNR, 37.496984, SSIM, 0.927175 
Denoiser, EDSR_3x3_10cases, Rate, 0.200000, Image_name, 6.tif, PSNR, 36.455567, SSIM, 0.953464 
