Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 1.tif, PSNR, 25.690213, SSIM, 0.758064 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 2.tif, PSNR, 27.925672, SSIM, 0.816913 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 3.tif, PSNR, 27.268075, SSIM, 0.819481 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 4.tif, PSNR, 34.821093, SSIM, 0.915372 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 5.tif, PSNR, 33.471091, SSIM, 0.865906 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 6.tif, PSNR, 28.770473, SSIM, 0.848909 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 7.tif, PSNR, 26.924952, SSIM, 0.859105 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 8.tif, PSNR, 30.860889, SSIM, 0.882357 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 1.tif, PSNR, 29.521299, SSIM, 0.883660 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 2.tif, PSNR, 31.851980, SSIM, 0.903435 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 3.tif, PSNR, 30.161274, SSIM, 0.876880 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 4.tif, PSNR, 37.803746, SSIM, 0.945176 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 5.tif, PSNR, 35.928432, SSIM, 0.903829 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 6.tif, PSNR, 32.760359, SSIM, 0.919584 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 7.tif, PSNR, 30.634208, SSIM, 0.927241 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 8.tif, PSNR, 34.257832, SSIM, 0.923027 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 1.tif, PSNR, 32.744987, SSIM, 0.935276 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 2.tif, PSNR, 34.473114, SSIM, 0.939421 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 3.tif, PSNR, 32.213319, SSIM, 0.909636 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 4.tif, PSNR, 39.051031, SSIM, 0.955258 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 5.tif, PSNR, 36.790459, SSIM, 0.918147 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 6.tif, PSNR, 35.365438, SSIM, 0.947303 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 7.tif, PSNR, 33.877559, SSIM, 0.953699 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 8.tif, PSNR, 36.154663, SSIM, 0.940835 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 1.tif, PSNR, 34.669432, SSIM, 0.954471 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 2.tif, PSNR, 35.735446, SSIM, 0.949234 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 3.tif, PSNR, 34.093390, SSIM, 0.931857 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 4.tif, PSNR, 40.515479, SSIM, 0.965649 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 5.tif, PSNR, 38.168365, SSIM, 0.938476 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 6.tif, PSNR, 36.873645, SSIM, 0.958289 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 7.tif, PSNR, 35.356211, SSIM, 0.962525 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 8.tif, PSNR, 37.736347, SSIM, 0.953550 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 1.tif, PSNR, 35.390517, SSIM, 0.959406 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 2.tif, PSNR, 37.250622, SSIM, 0.961203 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 3.tif, PSNR, 35.145263, SSIM, 0.941333 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 4.tif, PSNR, 41.636228, SSIM, 0.971556 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 5.tif, PSNR, 39.068657, SSIM, 0.949166 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 6.tif, PSNR, 38.376901, SSIM, 0.966644 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 7.tif, PSNR, 37.167755, SSIM, 0.971465 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 8.tif, PSNR, 38.954580, SSIM, 0.961374 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 1.tif, PSNR, 36.692179, SSIM, 0.967625 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 2.tif, PSNR, 38.554343, SSIM, 0.969324 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 3.tif, PSNR, 36.611244, SSIM, 0.951670 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 4.tif, PSNR, 42.827737, SSIM, 0.977383 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 5.tif, PSNR, 39.977469, SSIM, 0.957562 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 6.tif, PSNR, 39.745697, SSIM, 0.973496 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 7.tif, PSNR, 38.531277, SSIM, 0.976218 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 8.tif, PSNR, 39.998277, SSIM, 0.967009 
