Denoiser, RCAN_5x5_17cases, Rate, 0.050000, Image_name, 1.tif, PSNR, 24.908321, SSIM, 0.721480 
Denoiser, RCAN_5x5_17cases, Rate, 0.050000, Image_name, 2.tif, PSNR, 27.662695, SSIM, 0.805048 
Denoiser, RCAN_5x5_17cases, Rate, 0.050000, Image_name, 3.tif, PSNR, 27.368848, SSIM, 0.817902 
Denoiser, RCAN_5x5_17cases, Rate, 0.050000, Image_name, 4.tif, PSNR, 34.953885, SSIM, 0.915832 
Denoiser, RCAN_5x5_17cases, Rate, 0.050000, Image_name, 5.tif, PSNR, 33.680977, SSIM, 0.869900 
Denoiser, RCAN_5x5_17cases, Rate, 0.050000, Image_name, 6.tif, PSNR, 28.675175, SSIM, 0.846539 
Denoiser, RCAN_5x5_17cases, Rate, 0.050000, Image_name, 7.tif, PSNR, 26.779304, SSIM, 0.858291 
Denoiser, RCAN_5x5_17cases, Rate, 0.050000, Image_name, 8.tif, PSNR, 30.888801, SSIM, 0.880766 
Denoiser, RCAN_5x5_17cases, Rate, 0.100000, Image_name, 1.tif, PSNR, 29.213352, SSIM, 0.875246 
Denoiser, RCAN_5x5_17cases, Rate, 0.100000, Image_name, 2.tif, PSNR, 31.695135, SSIM, 0.899576 
Denoiser, RCAN_5x5_17cases, Rate, 0.100000, Image_name, 3.tif, PSNR, 30.199045, SSIM, 0.879070 
Denoiser, RCAN_5x5_17cases, Rate, 0.100000, Image_name, 4.tif, PSNR, 37.837919, SSIM, 0.944475 
Denoiser, RCAN_5x5_17cases, Rate, 0.100000, Image_name, 5.tif, PSNR, 35.941618, SSIM, 0.902210 
Denoiser, RCAN_5x5_17cases, Rate, 0.100000, Image_name, 6.tif, PSNR, 32.714428, SSIM, 0.918762 
Denoiser, RCAN_5x5_17cases, Rate, 0.100000, Image_name, 7.tif, PSNR, 30.773259, SSIM, 0.926906 
Denoiser, RCAN_5x5_17cases, Rate, 0.100000, Image_name, 8.tif, PSNR, 34.405798, SSIM, 0.925254 
Denoiser, RCAN_5x5_17cases, Rate, 0.150000, Image_name, 1.tif, PSNR, 32.433692, SSIM, 0.932323 
Denoiser, RCAN_5x5_17cases, Rate, 0.150000, Image_name, 2.tif, PSNR, 34.514888, SSIM, 0.938759 
Denoiser, RCAN_5x5_17cases, Rate, 0.150000, Image_name, 3.tif, PSNR, 32.337901, SSIM, 0.910731 
Denoiser, RCAN_5x5_17cases, Rate, 0.150000, Image_name, 4.tif, PSNR, 39.571618, SSIM, 0.959111 
Denoiser, RCAN_5x5_17cases, Rate, 0.150000, Image_name, 5.tif, PSNR, 37.337992, SSIM, 0.926701 
Denoiser, RCAN_5x5_17cases, Rate, 0.150000, Image_name, 6.tif, PSNR, 35.495880, SSIM, 0.948471 
Denoiser, RCAN_5x5_17cases, Rate, 0.150000, Image_name, 7.tif, PSNR, 33.899279, SSIM, 0.954836 
Denoiser, RCAN_5x5_17cases, Rate, 0.150000, Image_name, 8.tif, PSNR, 36.493210, SSIM, 0.944117 
Denoiser, RCAN_5x5_17cases, Rate, 0.200000, Image_name, 1.tif, PSNR, 34.554514, SSIM, 0.953447 
Denoiser, RCAN_5x5_17cases, Rate, 0.200000, Image_name, 2.tif, PSNR, 36.559845, SSIM, 0.956812 
Denoiser, RCAN_5x5_17cases, Rate, 0.200000, Image_name, 3.tif, PSNR, 34.108065, SSIM, 0.933154 
Denoiser, RCAN_5x5_17cases, Rate, 0.200000, Image_name, 4.tif, PSNR, 40.890401, SSIM, 0.967886 
Denoiser, RCAN_5x5_17cases, Rate, 0.200000, Image_name, 5.tif, PSNR, 38.542050, SSIM, 0.941506 
Denoiser, RCAN_5x5_17cases, Rate, 0.200000, Image_name, 6.tif, PSNR, 37.259559, SSIM, 0.960940 
Denoiser, RCAN_5x5_17cases, Rate, 0.200000, Image_name, 7.tif, PSNR, 36.134094, SSIM, 0.967154 
Denoiser, RCAN_5x5_17cases, Rate, 0.200000, Image_name, 8.tif, PSNR, 38.025076, SSIM, 0.955230 
Denoiser, RCAN_5x5_17cases, Rate, 0.250000, Image_name, 1.tif, PSNR, 36.003381, SSIM, 0.964040 
Denoiser, RCAN_5x5_17cases, Rate, 0.250000, Image_name, 2.tif, PSNR, 38.089138, SSIM, 0.966872 
Denoiser, RCAN_5x5_17cases, Rate, 0.250000, Image_name, 3.tif, PSNR, 35.537571, SSIM, 0.944181 
Denoiser, RCAN_5x5_17cases, Rate, 0.250000, Image_name, 4.tif, PSNR, 41.825454, SSIM, 0.972872 
Denoiser, RCAN_5x5_17cases, Rate, 0.250000, Image_name, 5.tif, PSNR, 39.575011, SSIM, 0.953485 
Denoiser, RCAN_5x5_17cases, Rate, 0.250000, Image_name, 6.tif, PSNR, 38.784929, SSIM, 0.968947 
Denoiser, RCAN_5x5_17cases, Rate, 0.250000, Image_name, 7.tif, PSNR, 37.689989, SSIM, 0.973553 
Denoiser, RCAN_5x5_17cases, Rate, 0.250000, Image_name, 8.tif, PSNR, 39.289150, SSIM, 0.963022 
Denoiser, RCAN_5x5_17cases, Rate, 0.300000, Image_name, 1.tif, PSNR, 37.105392, SSIM, 0.969913 
Denoiser, RCAN_5x5_17cases, Rate, 0.300000, Image_name, 2.tif, PSNR, 39.166647, SSIM, 0.972642 
Denoiser, RCAN_5x5_17cases, Rate, 0.300000, Image_name, 3.tif, PSNR, 36.993221, SSIM, 0.955417 
Denoiser, RCAN_5x5_17cases, Rate, 0.300000, Image_name, 4.tif, PSNR, 42.836168, SSIM, 0.977420 
Denoiser, RCAN_5x5_17cases, Rate, 0.300000, Image_name, 5.tif, PSNR, 40.538323, SSIM, 0.962072 
Denoiser, RCAN_5x5_17cases, Rate, 0.300000, Image_name, 6.tif, PSNR, 40.048143, SSIM, 0.974864 
Denoiser, RCAN_5x5_17cases, Rate, 0.300000, Image_name, 7.tif, PSNR, 39.171417, SSIM, 0.978240 
Denoiser, RCAN_5x5_17cases, Rate, 0.300000, Image_name, 8.tif, PSNR, 40.183452, SSIM, 0.967720 
