Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 1.tif, PSNR, 25.727071, SSIM, 0.759205 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 2.tif, PSNR, 28.100730, SSIM, 0.820533 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 3.tif, PSNR, 27.405877, SSIM, 0.827506 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 4.tif, PSNR, 34.899000, SSIM, 0.914674 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 5.tif, PSNR, 33.699553, SSIM, 0.870814 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 6.tif, PSNR, 29.035931, SSIM, 0.856147 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 7.tif, PSNR, 26.860248, SSIM, 0.856241 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 8.tif, PSNR, 30.886156, SSIM, 0.880918 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 1.tif, PSNR, 29.928946, SSIM, 0.891528 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 2.tif, PSNR, 31.944714, SSIM, 0.904719 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 3.tif, PSNR, 30.180413, SSIM, 0.877631 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 4.tif, PSNR, 37.828877, SSIM, 0.945372 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 5.tif, PSNR, 35.864039, SSIM, 0.904309 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 6.tif, PSNR, 32.805730, SSIM, 0.919954 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 7.tif, PSNR, 30.872247, SSIM, 0.928141 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 8.tif, PSNR, 34.425489, SSIM, 0.925794 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 1.tif, PSNR, 32.744688, SSIM, 0.936109 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 2.tif, PSNR, 34.565630, SSIM, 0.940282 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 3.tif, PSNR, 32.290133, SSIM, 0.912055 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 4.tif, PSNR, 39.015436, SSIM, 0.954838 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 5.tif, PSNR, 36.781099, SSIM, 0.919042 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 6.tif, PSNR, 35.357185, SSIM, 0.947224 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 7.tif, PSNR, 33.843361, SSIM, 0.953171 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 8.tif, PSNR, 36.346557, SSIM, 0.942718 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 1.tif, PSNR, 34.658791, SSIM, 0.954474 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 2.tif, PSNR, 35.913869, SSIM, 0.950476 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 3.tif, PSNR, 34.008737, SSIM, 0.930658 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 4.tif, PSNR, 40.497774, SSIM, 0.965215 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 5.tif, PSNR, 38.105181, SSIM, 0.937435 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 6.tif, PSNR, 36.969440, SSIM, 0.958323 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 7.tif, PSNR, 36.004407, SSIM, 0.965805 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 8.tif, PSNR, 37.632623, SSIM, 0.952064 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 1.tif, PSNR, 35.430587, SSIM, 0.959275 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 2.tif, PSNR, 37.363653, SSIM, 0.962116 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 3.tif, PSNR, 35.275774, SSIM, 0.941741 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 4.tif, PSNR, 41.620007, SSIM, 0.971890 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 5.tif, PSNR, 39.163629, SSIM, 0.949935 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 6.tif, PSNR, 38.426011, SSIM, 0.966898 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 7.tif, PSNR, 37.198670, SSIM, 0.972131 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 8.tif, PSNR, 38.951299, SSIM, 0.961907 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 1.tif, PSNR, 36.654888, SSIM, 0.967364 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 2.tif, PSNR, 38.664810, SSIM, 0.969540 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 3.tif, PSNR, 36.696312, SSIM, 0.953016 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 4.tif, PSNR, 42.870374, SSIM, 0.977457 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 5.tif, PSNR, 40.010999, SSIM, 0.957530 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 6.tif, PSNR, 39.713350, SSIM, 0.973028 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 7.tif, PSNR, 38.481967, SSIM, 0.976195 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 8.tif, PSNR, 39.988072, SSIM, 0.967150 
