Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00238.bmp, PSNR:12.246910, SSIM:0.212223 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00467.bmp, PSNR:17.772123, SSIM:0.371239 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00641.bmp, PSNR:21.008441, SSIM:0.397917 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00766.bmp, PSNR:17.868714, SSIM:0.447843 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00767.bmp, PSNR:22.850015, SSIM:0.534595 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:01034.bmp, PSNR:28.589347, SSIM:0.812477 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:01631.bmp, PSNR:21.016600, SSIM:0.441896 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:01660.bmp, PSNR:19.634819, SSIM:0.420241 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:02827.bmp, PSNR:22.825885, SSIM:0.606497 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:02913.bmp, PSNR:21.111179, SSIM:0.387999 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:03083.bmp, PSNR:20.324696, SSIM:0.575189 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:03581.bmp, PSNR:26.301208, SSIM:0.759048 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:03766.bmp, PSNR:19.979945, SSIM:0.387757 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:03907.bmp, PSNR:25.374364, SSIM:0.615028 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:04134.bmp, PSNR:26.904377, SSIM:0.817140 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:04576.bmp, PSNR:21.978994, SSIM:0.674506 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:04582.bmp, PSNR:18.340966, SSIM:0.474570 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:04694.bmp, PSNR:23.847996, SSIM:0.663501 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:04695.bmp, PSNR:25.388014, SSIM:0.678579 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:04699.bmp, PSNR:25.485127, SSIM:0.672940 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:00238.bmp, PSNR:16.464811, SSIM:0.559072 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:00467.bmp, PSNR:21.502545, SSIM:0.594071 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:00641.bmp, PSNR:23.732182, SSIM:0.537388 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:00766.bmp, PSNR:21.054124, SSIM:0.609090 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:00767.bmp, PSNR:26.198726, SSIM:0.678470 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:01034.bmp, PSNR:33.595688, SSIM:0.884106 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:01631.bmp, PSNR:23.999841, SSIM:0.589763 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:01660.bmp, PSNR:23.872480, SSIM:0.650534 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:02827.bmp, PSNR:26.345557, SSIM:0.752044 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:02913.bmp, PSNR:23.231955, SSIM:0.511492 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:03083.bmp, PSNR:23.948866, SSIM:0.721274 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:03581.bmp, PSNR:31.253270, SSIM:0.854060 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:03766.bmp, PSNR:23.706599, SSIM:0.627495 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:03907.bmp, PSNR:28.344460, SSIM:0.694877 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:04134.bmp, PSNR:32.389768, SSIM:0.901773 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:04576.bmp, PSNR:28.596700, SSIM:0.859121 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:04582.bmp, PSNR:22.760076, SSIM:0.664723 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:04694.bmp, PSNR:29.122047, SSIM:0.803490 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:04695.bmp, PSNR:30.201612, SSIM:0.779456 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:04699.bmp, PSNR:29.935841, SSIM:0.784536 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00238.bmp, PSNR:23.089534, SSIM:0.824926 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00467.bmp, PSNR:25.759832, SSIM:0.786720 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00641.bmp, PSNR:26.539529, SSIM:0.709037 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00766.bmp, PSNR:24.463029, SSIM:0.762098 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00767.bmp, PSNR:28.981175, SSIM:0.792643 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01034.bmp, PSNR:37.131447, SSIM:0.931359 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01631.bmp, PSNR:26.588571, SSIM:0.723310 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01660.bmp, PSNR:28.429296, SSIM:0.837817 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:02827.bmp, PSNR:29.717127, SSIM:0.854713 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:02913.bmp, PSNR:25.446844, SSIM:0.656611 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03083.bmp, PSNR:27.931864, SSIM:0.859739 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03581.bmp, PSNR:34.829954, SSIM:0.907332 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03766.bmp, PSNR:28.508233, SSIM:0.817805 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03907.bmp, PSNR:30.393236, SSIM:0.775144 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04134.bmp, PSNR:37.776398, SSIM:0.957370 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04576.bmp, PSNR:34.230202, SSIM:0.943889 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04582.bmp, PSNR:27.285143, SSIM:0.831719 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04694.bmp, PSNR:33.472166, SSIM:0.901423 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04695.bmp, PSNR:33.293220, SSIM:0.859691 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04699.bmp, PSNR:32.789832, SSIM:0.860065 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:00238.bmp, PSNR:29.584320, SSIM:0.942889 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:00467.bmp, PSNR:31.951791, SSIM:0.935836 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:00641.bmp, PSNR:30.971066, SSIM:0.880305 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:00766.bmp, PSNR:29.892007, SSIM:0.897446 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:00767.bmp, PSNR:32.959697, SSIM:0.897330 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:01034.bmp, PSNR:41.419869, SSIM:0.968613 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:01631.bmp, PSNR:30.933725, SSIM:0.876407 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:01660.bmp, PSNR:35.274936, SSIM:0.958934 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:02827.bmp, PSNR:35.271901, SSIM:0.943516 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:02913.bmp, PSNR:28.984764, SSIM:0.830180 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:03083.bmp, PSNR:34.453013, SSIM:0.956279 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:03581.bmp, PSNR:40.053024, SSIM:0.963224 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:03766.bmp, PSNR:34.819292, SSIM:0.940656 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:03907.bmp, PSNR:33.795243, SSIM:0.879391 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:04134.bmp, PSNR:43.736030, SSIM:0.984167 
