Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00001.bmp, PSNR:26.728027, SSIM:0.735258 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00004.bmp, PSNR:13.837951, SSIM:0.156779 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00013.bmp, PSNR:15.965481, SSIM:0.238465 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00021.bmp, PSNR:21.697166, SSIM:0.585035 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00026.bmp, PSNR:23.937014, SSIM:0.736583 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00102.bmp, PSNR:16.396397, SSIM:0.444663 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00135.bmp, PSNR:19.254589, SSIM:0.511339 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00883.bmp, PSNR:25.314556, SSIM:0.703105 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00888.bmp, PSNR:18.542395, SSIM:0.400262 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00947.bmp, PSNR:14.451621, SSIM:0.269395 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:01068.bmp, PSNR:21.985466, SSIM:0.602837 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:01712.bmp, PSNR:15.500174, SSIM:0.283793 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:02174.bmp, PSNR:22.889427, SSIM:0.699865 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:02748.bmp, PSNR:19.746779, SSIM:0.606330 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:02771.bmp, PSNR:20.364553, SSIM:0.478344 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:02834.bmp, PSNR:24.980898, SSIM:0.640892 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:03427.bmp, PSNR:17.918510, SSIM:0.437521 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:03769.bmp, PSNR:18.837898, SSIM:0.366784 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:03903.bmp, PSNR:22.943474, SSIM:0.642313 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:03945.bmp, PSNR:16.132044, SSIM:0.468574 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:00001.bmp, PSNR:31.902950, SSIM:0.865180 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:00004.bmp, PSNR:15.004214, SSIM:0.316548 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:00013.bmp, PSNR:18.623919, SSIM:0.466514 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:00021.bmp, PSNR:28.630109, SSIM:0.809192 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:00026.bmp, PSNR:30.188866, SSIM:0.882475 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:00102.bmp, PSNR:23.832537, SSIM:0.758772 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:00135.bmp, PSNR:23.972620, SSIM:0.727917 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:00883.bmp, PSNR:28.463190, SSIM:0.798446 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:00888.bmp, PSNR:21.997487, SSIM:0.602434 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:00947.bmp, PSNR:16.961788, SSIM:0.472887 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:01068.bmp, PSNR:25.955404, SSIM:0.758058 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:01712.bmp, PSNR:19.479762, SSIM:0.565776 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:02174.bmp, PSNR:26.209005, SSIM:0.815825 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:02748.bmp, PSNR:28.882316, SSIM:0.883650 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:02771.bmp, PSNR:25.492188, SSIM:0.700971 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:02834.bmp, PSNR:29.706340, SSIM:0.788997 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:03427.bmp, PSNR:21.726893, SSIM:0.648537 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:03769.bmp, PSNR:21.708678, SSIM:0.544643 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:03903.bmp, PSNR:29.251421, SSIM:0.852128 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:03945.bmp, PSNR:26.923354, SSIM:0.892992 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00001.bmp, PSNR:36.670184, SSIM:0.941148 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00004.bmp, PSNR:17.284495, SSIM:0.557837 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00013.bmp, PSNR:21.423895, SSIM:0.671474 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00021.bmp, PSNR:33.875798, SSIM:0.922131 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00026.bmp, PSNR:34.520127, SSIM:0.943710 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00102.bmp, PSNR:29.969982, SSIM:0.914780 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00135.bmp, PSNR:29.626839, SSIM:0.876592 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00883.bmp, PSNR:32.195686, SSIM:0.896882 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00888.bmp, PSNR:24.770001, SSIM:0.748049 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00947.bmp, PSNR:22.383654, SSIM:0.796679 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01068.bmp, PSNR:30.184274, SSIM:0.877673 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01712.bmp, PSNR:23.312111, SSIM:0.736031 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:02174.bmp, PSNR:30.130688, SSIM:0.906507 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:02748.bmp, PSNR:35.659069, SSIM:0.959986 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:02771.bmp, PSNR:30.275258, SSIM:0.850484 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:02834.bmp, PSNR:33.373225, SSIM:0.875438 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03427.bmp, PSNR:24.379972, SSIM:0.761796 
