Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00191.bmp, PSNR:24.919493, SSIM:0.719554 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00209.bmp, PSNR:25.302776, SSIM:0.696896 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00310.bmp, PSNR:22.832309, SSIM:0.636750 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00348.bmp, PSNR:14.485975, SSIM:0.294912 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00356.bmp, PSNR:20.508184, SSIM:0.544272 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00510.bmp, PSNR:20.001835, SSIM:0.530628 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00566.bmp, PSNR:22.530986, SSIM:0.704284 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00639.bmp, PSNR:16.594726, SSIM:0.513506 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00643.bmp, PSNR:17.223612, SSIM:0.421822 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00760.bmp, PSNR:18.290882, SSIM:0.443400 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00835.bmp, PSNR:19.964548, SSIM:0.546474 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00910.bmp, PSNR:17.755895, SSIM:0.376165 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00927.bmp, PSNR:19.203124, SSIM:0.519836 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:01673.bmp, PSNR:22.016492, SSIM:0.694730 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:02947.bmp, PSNR:20.244394, SSIM:0.560705 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:02955.bmp, PSNR:25.887369, SSIM:0.776317 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:03191.bmp, PSNR:16.236055, SSIM:0.414711 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:03294.bmp, PSNR:18.864008, SSIM:0.400524 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:04001.bmp, PSNR:17.669015, SSIM:0.438545 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:04723.bmp, PSNR:19.896565, SSIM:0.652378 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:00191.bmp, PSNR:31.165906, SSIM:0.861532 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:00209.bmp, PSNR:31.504685, SSIM:0.861599 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:00310.bmp, PSNR:27.911264, SSIM:0.805323 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:00348.bmp, PSNR:19.789648, SSIM:0.612099 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:00356.bmp, PSNR:27.381931, SSIM:0.807197 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:00510.bmp, PSNR:25.470432, SSIM:0.740561 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:00566.bmp, PSNR:30.793389, SSIM:0.904389 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:00639.bmp, PSNR:20.947840, SSIM:0.712981 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:00643.bmp, PSNR:21.839394, SSIM:0.662775 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:00760.bmp, PSNR:22.596807, SSIM:0.658866 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:00835.bmp, PSNR:26.459116, SSIM:0.786702 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:00910.bmp, PSNR:23.039443, SSIM:0.652343 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:00927.bmp, PSNR:24.885095, SSIM:0.762926 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:01673.bmp, PSNR:29.675682, SSIM:0.890729 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:02947.bmp, PSNR:25.441279, SSIM:0.749578 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:02955.bmp, PSNR:33.260948, SSIM:0.908609 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:03191.bmp, PSNR:22.602298, SSIM:0.733902 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:03294.bmp, PSNR:23.227719, SSIM:0.621337 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:04001.bmp, PSNR:22.063529, SSIM:0.684958 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:04723.bmp, PSNR:24.947102, SSIM:0.801933 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00191.bmp, PSNR:35.509887, SSIM:0.925384 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00209.bmp, PSNR:36.206718, SSIM:0.934651 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00310.bmp, PSNR:32.495647, SSIM:0.913422 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00348.bmp, PSNR:24.621411, SSIM:0.812852 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00356.bmp, PSNR:33.269380, SSIM:0.915817 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00510.bmp, PSNR:30.204831, SSIM:0.869246 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00566.bmp, PSNR:37.801884, SSIM:0.972694 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00639.bmp, PSNR:25.878690, SSIM:0.876565 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00643.bmp, PSNR:27.679091, SSIM:0.860688 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00760.bmp, PSNR:27.201471, SSIM:0.835003 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00835.bmp, PSNR:31.590193, SSIM:0.892925 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00910.bmp, PSNR:28.920347, SSIM:0.870669 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00927.bmp, PSNR:30.288396, SSIM:0.890226 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01673.bmp, PSNR:35.167490, SSIM:0.952634 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:02947.bmp, PSNR:29.031029, SSIM:0.856661 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:02955.bmp, PSNR:38.474156, SSIM:0.960793 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03191.bmp, PSNR:29.097518, SSIM:0.902481 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03294.bmp, PSNR:27.033782, SSIM:0.792925 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04001.bmp, PSNR:27.486470, SSIM:0.868731 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04723.bmp, PSNR:31.114712, SSIM:0.926964 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:00191.bmp, PSNR:40.100159, SSIM:0.965802 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:00209.bmp, PSNR:40.726453, SSIM:0.970728 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:00310.bmp, PSNR:38.655948, SSIM:0.969223 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:00348.bmp, PSNR:30.923835, SSIM:0.937541 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:00356.bmp, PSNR:38.134064, SSIM:0.961284 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:00510.bmp, PSNR:36.799623, SSIM:0.960395 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:00566.bmp, PSNR:44.303227, SSIM:0.991261 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:00639.bmp, PSNR:33.404906, SSIM:0.967642 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:00643.bmp, PSNR:34.771189, SSIM:0.953333 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:00760.bmp, PSNR:33.544807, SSIM:0.951601 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:00835.bmp, PSNR:37.140229, SSIM:0.952615 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:00910.bmp, PSNR:35.938612, SSIM:0.964613 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:00927.bmp, PSNR:35.897470, SSIM:0.952671 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:01673.bmp, PSNR:40.849824, SSIM:0.981693 
