Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00689.bmp, PSNR:19.176855, SSIM:0.324841 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00705.bmp, PSNR:29.197636, SSIM:0.880141 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:01043.bmp, PSNR:22.298677, SSIM:0.581877 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:01048.bmp, PSNR:26.975388, SSIM:0.709127 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:01276.bmp, PSNR:40.297325, SSIM:0.965539 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:01283.bmp, PSNR:14.209664, SSIM:0.125197 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:01706.bmp, PSNR:21.939749, SSIM:0.470544 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:02315.bmp, PSNR:22.496659, SSIM:0.363626 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:02817.bmp, PSNR:32.679914, SSIM:0.847379 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:02830.bmp, PSNR:27.745796, SSIM:0.753800 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:02831.bmp, PSNR:15.795494, SSIM:0.223926 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:02832.bmp, PSNR:27.257438, SSIM:0.780548 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:02917.bmp, PSNR:18.818785, SSIM:0.246175 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:03337.bmp, PSNR:19.985478, SSIM:0.469125 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:03400.bmp, PSNR:23.791334, SSIM:0.550530 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:03403.bmp, PSNR:25.459894, SSIM:0.600976 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:03439.bmp, PSNR:19.152254, SSIM:0.372898 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:03589.bmp, PSNR:16.590079, SSIM:0.325427 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:04208.bmp, PSNR:15.964144, SSIM:0.228821 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:04733.bmp, PSNR:21.859059, SSIM:0.617688 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:00689.bmp, PSNR:21.432245, SSIM:0.445666 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:00705.bmp, PSNR:34.977371, SSIM:0.945545 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:01043.bmp, PSNR:24.492988, SSIM:0.694037 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:01048.bmp, PSNR:30.809456, SSIM:0.812266 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:01276.bmp, PSNR:44.398639, SSIM:0.979675 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:01283.bmp, PSNR:15.476791, SSIM:0.217909 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:01706.bmp, PSNR:24.362082, SSIM:0.574011 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:02315.bmp, PSNR:24.277939, SSIM:0.483253 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:02817.bmp, PSNR:35.467733, SSIM:0.888577 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:02830.bmp, PSNR:31.855439, SSIM:0.856138 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:02831.bmp, PSNR:17.975844, SSIM:0.376281 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:02832.bmp, PSNR:30.989870, SSIM:0.828615 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:02917.bmp, PSNR:20.717046, SSIM:0.384309 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:03337.bmp, PSNR:22.945306, SSIM:0.599823 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:03400.bmp, PSNR:26.817778, SSIM:0.657337 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:03403.bmp, PSNR:28.053186, SSIM:0.712204 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:03439.bmp, PSNR:21.958956, SSIM:0.554950 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:03589.bmp, PSNR:19.181713, SSIM:0.494378 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:04208.bmp, PSNR:17.696518, SSIM:0.389091 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:04733.bmp, PSNR:25.340449, SSIM:0.771148 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00689.bmp, PSNR:23.108229, SSIM:0.577500 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00705.bmp, PSNR:39.514457, SSIM:0.970635 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01043.bmp, PSNR:26.988909, SSIM:0.798085 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01048.bmp, PSNR:34.050024, SSIM:0.888667 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01276.bmp, PSNR:48.359446, SSIM:0.990105 
