Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00524.bmp, PSNR:21.812807, SSIM:0.506911 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00548.bmp, PSNR:23.740396, SSIM:0.576471 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00794.bmp, PSNR:18.754861, SSIM:0.516294 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:01078.bmp, PSNR:16.961679, SSIM:0.384248 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:01102.bmp, PSNR:20.012364, SSIM:0.503316 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:01112.bmp, PSNR:19.546284, SSIM:0.370472 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:01792.bmp, PSNR:23.740396, SSIM:0.576471 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:01847.bmp, PSNR:16.370934, SSIM:0.327820 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:01888.bmp, PSNR:22.633240, SSIM:0.542837 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:02309.bmp, PSNR:27.201272, SSIM:0.783625 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:02514.bmp, PSNR:17.787513, SSIM:0.165491 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:02515.bmp, PSNR:24.702187, SSIM:0.506344 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:03143.bmp, PSNR:16.347910, SSIM:0.412186 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:03152.bmp, PSNR:20.173053, SSIM:0.399946 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:03168.bmp, PSNR:19.657918, SSIM:0.513086 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:03584.bmp, PSNR:18.099024, SSIM:0.308605 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:03848.bmp, PSNR:30.340726, SSIM:0.881821 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:03896.bmp, PSNR:26.393361, SSIM:0.725186 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:04224.bmp, PSNR:16.527990, SSIM:0.181863 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:04474.bmp, PSNR:18.393720, SSIM:0.436325 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:00524.bmp, PSNR:24.922626, SSIM:0.652235 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:00548.bmp, PSNR:28.231243, SSIM:0.738011 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:00794.bmp, PSNR:23.874612, SSIM:0.728615 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:01078.bmp, PSNR:21.757945, SSIM:0.684888 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:01102.bmp, PSNR:25.514495, SSIM:0.676700 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:01112.bmp, PSNR:22.387764, SSIM:0.493665 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:01792.bmp, PSNR:28.231243, SSIM:0.738011 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.040000, measure_model:Bernoulli,Image_name:01847.bmp, PSNR:20.024880, SSIM:0.540117 
