Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00171.bmp, PSNR:23.212202, SSIM:0.732930 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00173.bmp, PSNR:19.373630, SSIM:0.508937 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00180.bmp, PSNR:15.817815, SSIM:0.179367 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00598.bmp, PSNR:18.998266, SSIM:0.621465 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00602.bmp, PSNR:20.641649, SSIM:0.528792 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00604.bmp, PSNR:19.791935, SSIM:0.330503 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00741.bmp, PSNR:19.337379, SSIM:0.395614 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00790.bmp, PSNR:20.522952, SSIM:0.646212 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00880.bmp, PSNR:17.103232, SSIM:0.377876 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00892.bmp, PSNR:14.690789, SSIM:0.377694 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:00986.bmp, PSNR:22.048779, SSIM:0.576616 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:01544.bmp, PSNR:15.095032, SSIM:0.336630 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.010000, measure_model:Bernoulli,Image_name:01594.bmp, PSNR:19.211876, SSIM:0.415108 
