Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 1.tif, PSNR, 24.333871, SSIM, 0.673315 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 2.tif, PSNR, 26.066677, SSIM, 0.745405 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 3.tif, PSNR, 25.592464, SSIM, 0.754883 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 4.tif, PSNR, 33.321331, SSIM, 0.898035 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 5.tif, PSNR, 29.084303, SSIM, 0.698292 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 6.tif, PSNR, 26.590408, SSIM, 0.793518 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 7.tif, PSNR, 24.773883, SSIM, 0.803870 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 8.tif, PSNR, 29.355449, SSIM, 0.857461 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 1.tif, PSNR, 27.037989, SSIM, 0.808514 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 2.tif, PSNR, 29.804113, SSIM, 0.858932 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 3.tif, PSNR, 28.942928, SSIM, 0.844146 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 4.tif, PSNR, 36.317783, SSIM, 0.929983 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 5.tif, PSNR, 34.801064, SSIM, 0.882923 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 6.tif, PSNR, 30.260133, SSIM, 0.874361 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 7.tif, PSNR, 28.030067, SSIM, 0.885272 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 8.tif, PSNR, 32.553647, SSIM, 0.899162 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 1.tif, PSNR, 29.723735, SSIM, 0.879996 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 2.tif, PSNR, 31.607777, SSIM, 0.901992 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 3.tif, PSNR, 30.760050, SSIM, 0.879948 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 4.tif, PSNR, 37.886415, SSIM, 0.944127 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 5.tif, PSNR, 36.329891, SSIM, 0.906676 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 6.tif, PSNR, 32.682315, SSIM, 0.915691 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 7.tif, PSNR, 31.051379, SSIM, 0.926184 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 8.tif, PSNR, 34.539624, SSIM, 0.924877 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 1.tif, PSNR, 31.292940, SSIM, 0.910173 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 2.tif, PSNR, 33.630780, SSIM, 0.924993 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 3.tif, PSNR, 32.357904, SSIM, 0.906468 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 4.tif, PSNR, 38.943695, SSIM, 0.953738 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 5.tif, PSNR, 37.310357, SSIM, 0.925109 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 6.tif, PSNR, 34.200043, SSIM, 0.936882 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 7.tif, PSNR, 32.585581, SSIM, 0.942599 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 8.tif, PSNR, 36.210376, SSIM, 0.940321 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 1.tif, PSNR, 32.858839, SSIM, 0.932028 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 2.tif, PSNR, 34.961930, SSIM, 0.941498 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 3.tif, PSNR, 33.507205, SSIM, 0.920883 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 4.tif, PSNR, 40.088784, SSIM, 0.961834 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 5.tif, PSNR, 38.341820, SSIM, 0.938745 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 6.tif, PSNR, 35.926373, SSIM, 0.949319 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 7.tif, PSNR, 34.154820, SSIM, 0.954724 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 8.tif, PSNR, 37.090740, SSIM, 0.949180 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 1.tif, PSNR, 34.357346, SSIM, 0.948737 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 2.tif, PSNR, 36.348229, SSIM, 0.954628 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 3.tif, PSNR, 34.546548, SSIM, 0.931743 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 4.tif, PSNR, 40.523935, SSIM, 0.967297 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 5.tif, PSNR, 38.823501, SSIM, 0.947440 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 6.tif, PSNR, 37.320520, SSIM, 0.959820 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 7.tif, PSNR, 35.429458, SSIM, 0.961835 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 8.tif, PSNR, 38.204941, SSIM, 0.956135 
