Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 1.tif, PSNR, 25.810334, SSIM, 0.761912 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 2.tif, PSNR, 28.173718, SSIM, 0.825000 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 3.tif, PSNR, 27.365419, SSIM, 0.806404 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 4.tif, PSNR, 35.045812, SSIM, 0.916844 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 5.tif, PSNR, 33.742581, SSIM, 0.871333 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 6.tif, PSNR, 28.856154, SSIM, 0.850797 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 7.tif, PSNR, 26.896317, SSIM, 0.860012 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 8.tif, PSNR, 31.089470, SSIM, 0.885083 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 1.tif, PSNR, 29.794381, SSIM, 0.889966 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 2.tif, PSNR, 32.096817, SSIM, 0.908200 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 3.tif, PSNR, 30.081151, SSIM, 0.875638 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 4.tif, PSNR, 37.874654, SSIM, 0.946181 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 5.tif, PSNR, 36.047908, SSIM, 0.908207 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 6.tif, PSNR, 32.992883, SSIM, 0.923036 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 7.tif, PSNR, 30.970331, SSIM, 0.929328 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 8.tif, PSNR, 34.465351, SSIM, 0.925756 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 1.tif, PSNR, 32.996340, SSIM, 0.939057 
