Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 1.tif, PSNR, 20.613102, SSIM, 0.429401 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 2.tif, PSNR, 20.899875, SSIM, 0.485197 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 3.tif, PSNR, 20.384465, SSIM, 0.502218 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 4.tif, PSNR, 24.468633, SSIM, 0.456831 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 5.tif, PSNR, 23.601100, SSIM, 0.426366 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 6.tif, PSNR, 21.017416, SSIM, 0.531693 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 7.tif, PSNR, 18.871849, SSIM, 0.480857 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 8.tif, PSNR, 21.264532, SSIM, 0.580158 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 1.tif, PSNR, 22.357864, SSIM, 0.481480 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 2.tif, PSNR, 21.118470, SSIM, 0.461510 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 3.tif, PSNR, 22.069467, SSIM, 0.406441 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 4.tif, PSNR, 23.605292, SSIM, 0.394526 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 5.tif, PSNR, 24.199021, SSIM, 0.444858 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 6.tif, PSNR, 21.495936, SSIM, 0.499844 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 7.tif, PSNR, 19.139005, SSIM, 0.449054 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 8.tif, PSNR, 23.791515, SSIM, 0.501985 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 1.tif, PSNR, 23.444059, SSIM, 0.554747 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 2.tif, PSNR, 24.819728, SSIM, 0.589398 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 3.tif, PSNR, 23.840582, SSIM, 0.490343 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 4.tif, PSNR, 28.396664, SSIM, 0.646213 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 5.tif, PSNR, 26.342840, SSIM, 0.544598 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 6.tif, PSNR, 24.407851, SSIM, 0.547285 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 7.tif, PSNR, 23.367222, SSIM, 0.605008 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 8.tif, PSNR, 25.898598, SSIM, 0.578438 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 1.tif, PSNR, 25.899984, SSIM, 0.701744 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 2.tif, PSNR, 27.495861, SSIM, 0.724878 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 3.tif, PSNR, 25.758909, SSIM, 0.590713 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 4.tif, PSNR, 30.539994, SSIM, 0.747616 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 5.tif, PSNR, 29.048645, SSIM, 0.670629 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 6.tif, PSNR, 27.279715, SSIM, 0.699118 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 7.tif, PSNR, 26.208429, SSIM, 0.735944 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 8.tif, PSNR, 28.093804, SSIM, 0.684612 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.250000, Image_name, 1.tif, PSNR, 27.283310, SSIM, 0.764665 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.250000, Image_name, 2.tif, PSNR, 29.072414, SSIM, 0.787472 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.250000, Image_name, 3.tif, PSNR, 26.920838, SSIM, 0.648639 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.250000, Image_name, 4.tif, PSNR, 31.607738, SSIM, 0.789353 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.250000, Image_name, 5.tif, PSNR, 30.017494, SSIM, 0.714920 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.250000, Image_name, 6.tif, PSNR, 28.701295, SSIM, 0.754502 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.250000, Image_name, 7.tif, PSNR, 27.613158, SSIM, 0.789349 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.250000, Image_name, 8.tif, PSNR, 29.432747, SSIM, 0.738902 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.300000, Image_name, 1.tif, PSNR, 28.027541, SSIM, 0.788754 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.300000, Image_name, 2.tif, PSNR, 29.727371, SSIM, 0.808573 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.300000, Image_name, 3.tif, PSNR, 27.667217, SSIM, 0.679070 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.300000, Image_name, 4.tif, PSNR, 32.259873, SSIM, 0.810532 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.300000, Image_name, 5.tif, PSNR, 31.006728, SSIM, 0.754359 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.300000, Image_name, 6.tif, PSNR, 29.634680, SSIM, 0.785685 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.300000, Image_name, 7.tif, PSNR, 28.483287, SSIM, 0.811901 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.300000, Image_name, 8.tif, PSNR, 29.873760, SSIM, 0.749853 
