Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 1.tif, PSNR, 22.865301, SSIM, 0.585242 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 2.tif, PSNR, 26.173058, SSIM, 0.742910 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 3.tif, PSNR, 25.808984, SSIM, 0.763263 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 4.tif, PSNR, 33.313649, SSIM, 0.889754 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 5.tif, PSNR, 32.207520, SSIM, 0.846790 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 6.tif, PSNR, 27.016837, SSIM, 0.780238 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 7.tif, PSNR, 25.154738, SSIM, 0.793906 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 8.tif, PSNR, 29.243980, SSIM, 0.846840 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 1.tif, PSNR, 25.775746, SSIM, 0.743396 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 2.tif, PSNR, 30.251689, SSIM, 0.863449 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 3.tif, PSNR, 29.080741, SSIM, 0.845364 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 4.tif, PSNR, 36.641508, SSIM, 0.932985 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 5.tif, PSNR, 34.708952, SSIM, 0.882101 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 6.tif, PSNR, 31.269047, SSIM, 0.888514 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 7.tif, PSNR, 29.767024, SSIM, 0.904165 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 8.tif, PSNR, 33.147024, SSIM, 0.905313 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 1.tif, PSNR, 29.703845, SSIM, 0.876744 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 2.tif, PSNR, 33.043597, SSIM, 0.917268 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 3.tif, PSNR, 30.661589, SSIM, 0.871285 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 4.tif, PSNR, 38.711435, SSIM, 0.952122 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 5.tif, PSNR, 36.132196, SSIM, 0.903636 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 6.tif, PSNR, 34.195416, SSIM, 0.930954 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.150000, Image_name, 7.tif, PSNR, 32.828206, SSIM, 0.943806 
